Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Nike Shox weiß,150.0,Nike,42,https://www.vinted.it/items/5509419024-nike-shox-weiss?referrer=catalog,0,5509419024,On Sale,10/12/2024 13:45:07,[],0,1
Marco Tozzi,20.0,Marco Tozzi,38,https://www.vinted.it/items/5509418225-marco-tozzi?referrer=catalog,0,5509418225,On Sale,10/12/2024 13:45:07,[],0,1
Nike Air Jordan 1 High “Green Glow”,80.0,Nike,38.5,https://www.vinted.it/items/5509418113-nike-air-jordan-1-high-green-glow?referrer=catalog,0,5509418113,On Sale,10/12/2024 13:45:07,[],0,1
Escarpins femme cuir pointure 38 marque Affaire de style.,25.0,In Extenso,38,https://www.vinted.it/items/5509418098-escarpins-femme-cuir-pointure-38-marque-affaire-de-style?referrer=catalog,0,5509418098,On Sale,10/12/2024 13:45:07,[],0,1
Ball star golden goose,280.0,Golden Goose,39,https://www.vinted.it/items/5509406722-ball-star-golden-goose?referrer=catalog,0,5509406722,On Sale,10/12/2024 13:45:07,[],0,1
Scarpin,15.0,Zara,38,https://www.vinted.it/items/5509417920-scarpin?referrer=catalog,0,5509417920,On Sale,10/12/2024 13:45:07,[],0,1
Basket Nike Zoom Court lite 3,35.0,Nike,38.5,https://www.vinted.it/items/5509416930-basket-nike-zoom-court-lite-3?referrer=catalog,0,5509416930,On Sale,10/12/2024 13:45:07,[],0,1
Escarpin femme 39,5.5,Mano,39,https://www.vinted.it/items/5509416935-escarpin-femme-39?referrer=catalog,0,5509416935,On Sale,10/12/2024 13:45:07,[],0,1
Nike React Pegasus Trail 4 Damen 38,60.0,Nike,38,https://www.vinted.it/items/5509416884-nike-react-pegasus-trail-4-damen-38?referrer=catalog,0,5509416884,On Sale,10/12/2024 13:45:07,[],0,1
Converse verdes,20.99,Converse,34,https://www.vinted.it/items/5509416646-converse-verdes?referrer=catalog,0,5509416646,On Sale,10/12/2024 13:45:07,[],0,1
Claquette noir mini talons,5.0,Noir,40,https://www.vinted.it/items/5509416763-claquette-noir-mini-talons?referrer=catalog,0,5509416763,On Sale,10/12/2024 13:45:07,[],0,1
Basket zerogrand,50.0,zerogrand,39,https://www.vinted.it/items/5509416337-basket-zerogrand?referrer=catalog,0,5509416337,On Sale,10/12/2024 13:45:07,[],0,1
Sandales Massimo Dutti,75.0,Massimo Dutti,37,https://www.vinted.it/items/5509416037-sandales-massimo-dutti?referrer=catalog,0,5509416037,On Sale,10/12/2024 13:45:07,[],0,1
Bottines neuve 38,15.0,Findlay,38,https://www.vinted.it/items/5509415744-bottines-neuve-38?referrer=catalog,0,5509415744,On Sale,10/12/2024 13:45:07,[],0,1
