Images,Upload_date,Dataid,Title,Price,Brand,Size,Link,Likes,MarketStatus,SearchDate,Page,SearchCount,LastCheck
"['https://images1.vinted.net/t/04_021b7_fNV3MGNmLVg179avh5JXAef8/f800/1738606404.jpeg?s=8d609bba4f7f905806ad8d92c296fa3a150d1a49', 'https://images1.vinted.net/t/04_0049e_jgU2zB9RBod1BNkmpvx71tf4/f800/1738606404.jpeg?s=179a320b3723bbc1b8d5c665fc56ef818f04d92e', 'https://images1.vinted.net/t/04_011e6_ZCAkFwW9tvUrew1PxaYCArGv/f800/1738606404.jpeg?s=9990908a4c1c279b825949665db895603cb8245b', 'https://images1.vinted.net/t/04_00f34_4EhnmP6sCCk1MMtspM5pSKjD/f800/1738606404.jpeg?s=2669579e85c11aac946f5fe5f515d43612fe33c2', 'https://images1.vinted.net/t/04_0024b_4vK6F5Tz4sfiv2NEzrgfYsDM/f800/1738606404.jpeg?s=3107560d277744a34937191d4ed9d339b220de80']",,5759732210,Bota biker,2695,Local,0,https://www.vinted.it/items/5759732210-bota-biker?referrer=catalog,0,Sold,03/02/2025 19:55:49,10,4,
[],,5759737278,Sandalen orientalischem Perlenmuster,490.0,Sonstiges,0,https://www.vinted.it/items/5759737278-sandalen-orientalischem-perlenmuster?referrer=catalog,0,Sold,03/02/2025 19:59:51,9,4,
[],,5759734100,New balance 9010,12670.0,New Balance,0,https://www.vinted.it/items/5759734100-new-balance-9010?referrer=catalog,2,Sold,03/02/2025 19:59:51,9,4,
[],,5759736716,Bottes cuissardes a talons Gris.,2170.0,Lost Ink,0,https://www.vinted.it/items/5759736716-bottes-cuissardes-a-talons-gris?referrer=catalog,0,Sold,03/02/2025 19:59:51,9,4,
[],,5759736988,Gazelle bold marroni Adidas,8995.0,adidas,0,https://www.vinted.it/items/5759736988-gazelle-bold-marroni-adidas?referrer=catalog,3,Sold,03/02/2025 19:59:51,9,4,
[],,5759736997,Nike TN blanche,10570.0,Nike,0,https://www.vinted.it/items/5759736997-nike-tn-blanche?referrer=catalog,0,Sold,03/02/2025 19:59:51,9,4,
[],,5759737148,Sandalias mujer,595.0,Local,0,https://www.vinted.it/items/5759737148-sandalias-mujer?referrer=catalog,0,Sold,03/02/2025 19:59:51,9,4,
[],,5759954072,Baskets tennis ballerines neuves Bensimon,1644.0,Bensimon,0,https://www.vinted.it/items/5759954072-baskets-tennis-ballerines-neuves-bensimon?referrer=catalog,0,On Sale,03/02/2025 20:09:20,1,4,
[],,5759955082,Sapatilhas,2380.0,No brand,0,https://www.vinted.it/items/5759955082-sapatilhas?referrer=catalog,0,On Sale,03/02/2025 20:09:20,1,4,
[],,5759957172,Escarpins compensés,3430.0,Tamaris,0,https://www.vinted.it/items/5759957172-escarpins-compenses?referrer=catalog,0,On Sale,03/02/2025 20:09:20,1,4,
[],,5759959774,Bottine à talons,1120.0,Minelli,0,https://www.vinted.it/items/5759959774-bottine-a-talons?referrer=catalog,0,On Sale,03/02/2025 20:09:20,1,4,
[],,5759958462,Stivaletto in vernice,595.0,G&G,0,https://www.vinted.it/items/5759958462-stivaletto-in-vernice?referrer=catalog,0,On Sale,03/02/2025 20:09:20,1,4,
[],,5759958161,Adidas Gazelle Bold,6895.0,adidas,0,https://www.vinted.it/items/5759958161-adidas-gazelle-bold?referrer=catalog,0,On Sale,03/02/2025 20:09:20,1,4,
[],,5759806279,Stivaletti neri in pelle Mango,2170.0,Mango,0,https://www.vinted.it/items/5759806279-stivaletti-neri-in-pelle-mango?referrer=catalog,1,On Sale,03/02/2025 20:09:21,9,1,
[],,5759514416,Scarpe con tacco Zara numero 38 nuovi,2170.0,Zara,0,https://www.vinted.it/items/5759514416-scarpe-con-tacco-zara-numero-38-nuovi?referrer=catalog,49,On Sale,03/02/2025 20:09:21,9,1,
[],,5759802975,Sandalen,1120.0,No brand,0,https://www.vinted.it/items/5759802975-sandalen?referrer=catalog,1,On Sale,03/02/2025 20:09:21,9,1,
[],,5759800284,Nike Air Force 1 Noir.,4795.0,Nike Air,0,https://www.vinted.it/items/5759800284-nike-air-force-1-noir?referrer=catalog,1,On Sale,03/02/2025 20:09:21,10,1,
[],,5759796100,Scarpe basse stringate modello mocassino platform nere in pelle,4270.0,ASOS,0,https://www.vinted.it/items/5759796100-scarpe-basse-stringate-modello-mocassino-platform-nere-in-pelle?referrer=catalog,5,On Sale,03/02/2025 20:09:21,10,1,
[],,5759794509,Levis 37 original,3220.0,Levi's,0,https://www.vinted.it/items/5759794509-levis-37-original?referrer=catalog,1,On Sale,03/02/2025 20:06:12,10,1,
[],,5759793207,Boots,595.0,Boutique indépendante,0,https://www.vinted.it/items/5759793207-boots?referrer=catalog,3,On Sale,03/02/2025 20:06:12,10,1,
[],,5759791041,Botines negros mujer,2170.0,Even&Odd,0,https://www.vinted.it/items/5759791041-botines-negros-mujer?referrer=catalog,0,On Sale,03/02/2025 20:06:12,10,1,
[],,5759789927,Spezial 42,7420.0,adidas,0,https://www.vinted.it/items/5759789927-spezial-42?referrer=catalog,4,On Sale,03/02/2025 20:06:12,10,1,
[],,5759789285,Stivali,1120.0,Stivali,0,https://www.vinted.it/items/5759789285-stivali?referrer=catalog,3,On Sale,03/02/2025 20:06:12,10,1,
[],,5760039370,Dunk noir,3220.0,Nike,0,https://www.vinted.it/items/5760039370-dunk-noir?referrer=catalog,0,On Sale,03/02/2025 20:07:41,1,2,
[],,5760037906,Sézane shoes,8470.0,Sézane,0,https://www.vinted.it/items/5760037906-sezane-shoes?referrer=catalog,1,On Sale,03/02/2025 20:07:41,1,2,
[],,5760038120,Lot chaussures,175.0,Orchestra,0,https://www.vinted.it/items/5760038120-lot-chaussures?referrer=catalog,0,On Sale,03/02/2025 20:07:41,1,2,
