Images,Dataid,Title,Price,Brand,Size,Link,Likes,MarketStatus,SearchDate,Page,SearchCount,LastCheck,Downloaded
[],5773560951,Mocassins,11.2,No brand,"39, €10.00, €11.20 include la Protezione acquisti",https://www.vinted.it/items/5773560951-mocassins?referrer=catalog,0,On Sale,06/02/2025 16:23:46,1,1,,
[],5773557660,Baskets neufs. 37,13.3,sans marque,"37, €12.00, €13.30 include la Protezione acquisti",https://www.vinted.it/items/5773557660-baskets-neufs-37?referrer=catalog,0,On Sale,06/02/2025 16:23:46,1,1,,
[],5773545015,Boots cuir,23.8,jolana & fenena,"39, €22.00, €23.80 include la Protezione acquisti",https://www.vinted.it/items/5773545015-boots-cuir?referrer=catalog,0,On Sale,06/02/2025 16:23:46,1,1,,
[],5773450694,Botas pull and bear,11.2,Pull & Bear,"37, €10.00, €11.20 include la Protezione acquisti",https://www.vinted.it/items/5773450694-botas-pull-and-bear?referrer=catalog,0,On Sale,06/02/2025 16:25:27,4,0,,
[],5773448268,Bottines en daim,11.2,Daim,"39, €10.00, €11.20 include la Protezione acquisti",https://www.vinted.it/items/5773448268-bottines-en-daim?referrer=catalog,0,On Sale,06/02/2025 16:25:27,5,0,,
[],5773446667,Campus adidas,37.45,Campus,"37.5, €35.00, €37.45 include la Protezione acquisti",https://www.vinted.it/items/5773446667-campus-adidas?referrer=catalog,2,On Sale,06/02/2025 16:25:27,5,0,,
[],5773441019,Adidas gazelle,62.65,adidas,"39, €59.00, €62.65 include la Protezione acquisti",https://www.vinted.it/items/5773441019-adidas-gazelle?referrer=catalog,2,On Sale,06/02/2025 16:25:27,5,0,,
[],5773441669,Mary Jane n40,11.2,Primark,"40, €10.00, €11.20 include la Protezione acquisti",https://www.vinted.it/items/5773441669-mary-jane-n40?referrer=catalog,1,On Sale,06/02/2025 16:25:27,5,0,,
[],5773440557,Baskets noire paillettes,11.2,aucune,"37, €10.00, €11.20 include la Protezione acquisti",https://www.vinted.it/items/5773440557-baskets-noire-paillettes?referrer=catalog,0,On Sale,06/02/2025 16:25:27,5,0,,
[],5773439666,Schoenen Nike,21.7,Nike,"41, €20.00, €21.70 include la Protezione acquisti",https://www.vinted.it/items/5773439666-schoenen-nike?referrer=catalog,0,On Sale,06/02/2025 16:25:27,5,0,,
[],5773436713,SÉZANE,42.7,Sézane,"38, €40.00, €42.70 include la Protezione acquisti",https://www.vinted.it/items/5773436713-sezane?referrer=catalog,1,On Sale,06/02/2025 16:25:27,5,0,,
[],5773435496,Zapatillas adidas mujer,74.2,adidas,"38, €70.00, €74.20 include la Protezione acquisti",https://www.vinted.it/items/5773435496-zapatillas-adidas-mujer?referrer=catalog,4,On Sale,06/02/2025 16:25:27,5,0,,
